order_id,order_date,customer_id,product_name,category,quantity,unit_price,region,sales_rep,total_sales
ORD000022,2023-01-08,CUST6413,Smart Watch,Electronics,1,1020.43,North,Ryan Thompson,1020.43
ORD000023,2023-09-01,CUST8744,Bedding,Home & Garden,5,87.84,South,Jessica Miller,439.20000000000005
ORD000024,2024-02-21,CUST7735,T-Shirt,Clothing,4,32.6,West,John Smith,130.4
ORD000025,2024-11-20,CUST5073,LEGO Set,Toys,1,20.15,South,Lisa Brown,20.15
ORD000026,2024-07-03,CUST2235,Tennis Racket,Sports,2,183.21,West,Ryan Thompson,366.42
ORD000027,2023-04-11,CUST4872,Smart Watch,Electronics,1,1499.07,South,Chris Anderson,1499.07
ORD000028,2024-05-12,CUST7209,Tennis Racket,Sports,2,349.24,North,Chris Anderson,698.48
ORD000029,2023-09-29,CUST8973,Running Shoes,Sports,100,183.63,South,Lisa Brown,18363.0
ORD000030,2023-10-31,CUST1936,T-Shirt,Clothing,3,95.29,North,Amanda White,285.87
ORD000031,2024-05-03,CUST4044,Textbook,Books,55,16.3,North,Amanda White,896.5
ORD000032,2023-03-11,CUST5033,Action Figure,Toys,5,49.32,Central,Amanda White,246.6
ORD000033,2023-02-10,CUST6183,Fiction Novel,Books,5,26.77,East,Lisa Brown,133.85
ORD000034,2024-11-16,CUST8491,Board Game,Toys,3,35.29,East,Sarah Johnson,105.87
ORD000035,2023-01-10,CUST9808,Bicycle,Sports,54,399.42,South,Ryan Thompson,21568.68
ORD000036,2023-09-29,CUST5669,Jacket,Clothing,3,134.51,South,Jessica Miller,403.53
ORD000037,2024-07-10,CUST9666,Board Game,Toys,91,66.99,North,Ryan Thompson,6096.089999999999
ORD000038,2023-11-03,CUST2753,LEGO Set,Toys,1,94.81,Central,Mike Davis,94.81
ORD000039,2023-10-06,CUST9280,Kitchen Set,Home & Garden,3,86.87,West,David Wilson,260.61
ORD000040,2023-02-22,CUST6464,Smart Watch,Electronics,1,750.65,South,David Wilson,750.65
ORD000041,2023-06-15,CUST2832,Puzzle,Toys,1,61.89,North,Mike Davis,61.89
ORD000042,2024-07-12,CUST1685,Tablet,Electronics,2,957.26,East,Emily Taylor,1914.52
ORD000043,2023-02-10,CUST7658,Vacuum Cleaner,Home & Garden,3,214.16,Central,Mike Davis,642.48
ORD000044,2023-08-31,CUST7745,Jeans,Clothing,3,134.58,South,David Wilson,403.74
ORD000045,2023-06-13,CUST4644,LEGO Set,Toys,4,47.52,South,Jessica Miller,190.08
ORD000046,2023-12-25,CUST6378,Vacuum Cleaner,Home & Garden,4,90.19,East,Sarah Johnson,360.76
ORD000047,2023-10-13,CUST6425,Kitchen Set,Home & Garden,84,137.91,North,Sarah Johnson,11584.44
ORD000048,2023-09-25,8119,Dress,Clothing,1,145.13,East,Emily Taylor,145.13
ORD000049,2024-03-22,CUST5173,Textbook,Books,2,14.63,North,Chris Anderson,29.26
ORD000050,2023-01-02,CUST6967,Textbook,Books,2,37.47,West,Sarah Johnson,74.94
ORD000051,2024-11-11,CUST9308,Kitchen Set,Home & Garden,3,114.76,East,Chris Anderson,344.28000000000003
ORD000052,2023-12-01,CUST3851,Running Shoes,Sports,4,232.9,Central,Amanda White,931.6
ORD000053,2023-11-05,CUST8043,Bicycle,Sports,2,337.65,Central,Amanda White,675.3
ORD000054,2024-11-01,CUST8752,Bedding,Home & Garden,5,149.28,South,Sarah Johnson,746.4
ORD000055,2023-10-18,CUST6085,Textbook,Books,2,23.41,South,Lisa Brown,46.82
ORD000056,2023-05-31,CUST8461,Laptop,Electronics,1,518.3,West,Amanda White,518.3
ORD000057,2023-07-19,CUST2746,Puzzle,Toys,1,57.02,,Lisa Brown,57.02
ORD000058,2023-06-30,CUST8478,Remote Car,Toys,1,54.49,South,Jessica Miller,54.49
ORD000059,2024-11-14,CUST9270,Textbook,Books,78,33.82,West,Ryan Thompson,2637.96
ORD000060,2024-04-01,CUST5543,Sweater,Clothing,2,131.99,Central,Jessica Miller,263.98
ORD000061,2024-10-03,CUST5451,Jacket,Clothing,2,77.18,East,Emily Taylor,154.36
ORD000062,2024-07-07,CUST4505,Smartphone,Electronics,2,396.08,North,Chris Anderson,792.16
ORD000063,2024-02-22,CUST7381,Kitchen Set,Home & Garden,4,155.8,Central,John Smith,623.2
ORD000064,2024-08-12,CUST7865,Yoga Mat,Sports,4,27.21,Central,  Ryan Thompson ,108.84
ORD000065,2024-09-09,CUST7371,Sneakers,Clothing,1,48.52,East,Chris Anderson,48.52
ORD000066,2023-06-19,CUST1444,Tennis Racket,Sports,4,392.77,North,Chris Anderson,1571.08
ORD000067,2023-05-19,CUST8449,Tennis Racket,Sports,2,43.86,East,Emily Taylor,87.72
ORD000068,2024-01-24,CUST9837,Bedding,Home & Garden,1,98.11,North,Emily Taylor,98.11
ORD000069,2023-08-18,CUST5051,LEGO Set,Toys,1,81.4,South,John Smith,81.4
ORD000070,2024-09-28,CUST4571,Jeans,Clothing,5,36.41,West,David Wilson,182.04999999999998
ORD000071,2024-01-13,CUST3683,Dress,Clothing,1,98.94,East,Sarah Johnson,98.94
ORD000072,2024-08-15,CUST7498,Tablet,Electronics,4,948.54,South,Sarah Johnson,3794.16
ORD000073,2024-08-29,CUST2983,Action Figure,Toys,5,23.66,Central,John Smith,118.3
ORD000074,2023-12-22,CUST1207,Self-Help,Books,3,36.46,West,Jessica Miller,109.38
ORD000075,2023-04-19,CUST8135,Running Shoes,Sports,2,263.34,South,Ryan Thompson,526.68
ORD000076,2024-10-28,CUST8616,Kitchen Set,Home & Garden,4,248.21,West,Amanda White,992.84
ORD000077,2023-10-02,CUST4995,Vacuum Cleaner,Home & Garden,4,254.3,West,Amanda White,1017.2
ORD000078,2024-09-16,CUST3979,Puzzle,Toys,3,43.59,West,Lisa Brown,130.77
ORD000079,2023-12-30,CUST1166,Garden Tools,Home & Garden,3,105.51,Central,Lisa Brown,316.53000000000003
ORD000080,2023-03-29,CUST8800,Sweater,Clothing,2,72.84,West,Jessica Miller,145.68
ORD000081,2023-01-18,CUST7046,Tablet,Electronics,3,488.08,West,Ryan Thompson,1464.24
ORD000082,2024-06-27,CUST8434,Bedding,Home & Garden,3,299.09,East,David Wilson,897.27
ORD000083,2023-09-15,CUST4033,T-Shirt,Clothing,5,113.77,South,Lisa Brown,568.85
ORD000084,2024-05-10,CUST2647,Kitchen Set,Home & Garden,3,293.68,South,David Wilson,881.04
ORD000085,2023-08-21,CUST5494,Vacuum Cleaner,Home & Garden,2,111.61,North,John Smith,223.22
ORD000086,2024-07-20,CUST1200,Vacuum Cleaner,Home & Garden,1,202.22,Central,David Wilson,202.22
ORD000087,2024-04-25,CUST8827,Yoga Mat,Sports,66,152.76,North,Sarah Johnson,10082.16
ORD000088,2024-02-15,CUST3444,Basketball,Sports,2,241.38,Central,David Wilson,482.76
ORD000089,2023-03-29,CUST4697,T-Shirt,Clothing,5,92.55,Central,Chris Anderson,462.75
ORD000090,2024-04-06,CUST1986,Running Shoes,Sports,69,347.56,Central,Sarah Johnson,23981.64
ORD000091,2023-08-01,CUST3847,Action Figure,Toys,2,37.49,Central,Sarah Johnson,74.98
ORD000092,2023-06-10,CUST1534,Headphones,Electronics,3,785.65,South,David Wilson,2356.95
ORD000093,2024-12-24,CUST4241,Bedding,Home & Garden,3,49.22,West,Sarah Johnson,147.66
ORD000094,2024-07-11,CUST2169,Sweater,Clothing,2,39.37,,Mike Davis,78.74
ORD000095,2023-11-11,CUST5982,Textbook,Books,4,46.85,West,David Wilson,187.4
ORD000096,2024-05-27,CUST6280,Self-Help,Books,4,27.51,Central,David Wilson,110.04
ORD000097,2023-01-27,CUST1339,Smartphone,ELECTRONICS,5,1450.48,East,Amanda White,7252.4
ORD000098,2023-02-11,CUST3973,Sneakers,Clothing,3,87.47,Central,Chris Anderson,262.40999999999997
ORD000099,2024-10-12,CUST2713,Basketball,Sports,3,201.25,South,Emily Taylor,603.75
ORD000100,2024-02-26,CUST1601,Puzzle,Toys,5,39.5,West,Sarah Johnson,197.5
ORD000101,2023-11-19,CUST1018,Garden Tools,Home & Garden,5,61.3,Central,Jessica Miller,306.5
ORD000102,2024-02-28,CUST8242,Smartphone,Electronics,4,873.97,North,Lisa Brown,3495.88
ORD000103,2023-10-01,CUST2989,Cookbook,Books,4,47.11,North,Amanda White,188.44
ORD000104,2023-09-03,CUST2527,Action Figure,Toys,4,41.41,South,Sarah Johnson,165.64
ORD000105,2024-04-17,CUST9337,Smart Watch,Electronics,3,1281.79,East,Chris Anderson,3845.37
ORD000106,2024-05-09,CUST9327,Tennis Racket,Sports,2,196.29,South,Sarah Johnson,392.58
ORD000107,2023-10-10,CUST5634,Running Shoes,Sports,1,375.34,East,Amanda White,375.34
ORD000108,2024-08-16,CUST6654,Puzzle,Toys,4,88.55,East,Ryan Thompson,354.2
ORD000109,2024-07-10,CUST7274,Yoga Mat,Sports,2,374.82,South,Chris Anderson,749.64
ORD000110,2023-02-14,CUST3492,Bedding,Home & Garden,4,220.41,West,John Smith,881.64
ORD000111,2023-05-10,CUST2633,Textbook,Books,4,23.28,Central,Jessica Miller,93.12
ORD000112,2023-01-16,CUST2225,Action Figure,Toys,2,49.85,West,David Wilson,99.7
ORD000113,2023-12-13,CUST7226,Self-Help,Books,5,35.99,East,Jessica Miller,179.95000000000002
ORD000114,2024-07-08,CUST4727,Camera,Electronics,3,288.95,North,Chris Anderson,866.8499999999999
ORD000115,2023-04-11,CUST1753,LEGO Set,Toys,1,52.71,East,John Smith,52.71
ORD000116,2023-10-28,CUST3950,Garden Tools,Home & Garden,4,146.29,South,Mike Davis,585.16
ORD000117,2023-03-22,CUST3344,Self-Help,Books,5,34.79,South,Jessica Miller,173.95
ORD000118,2024-10-15,CUST5712,Bedding,Home & Garden,4,98.94,Central,Mike Davis,395.76
ORD000119,2023-03-17,CUST5097,Running Shoes,Sports,4,395.37,West,David Wilson,1581.48
ORD000120,2023-07-23,CUST5847,Yoga Mat,Sports,3,64.99,East,John Smith,194.96999999999997
ORD000121,2024-11-05,CUST9138,Running Shoes,Sports,1,28.04,East,Lisa Brown,28.04
ORD000122,2024-09-13,CUST2591,Vacuum Cleaner,Home & Garden,2,201.89,North,David Wilson,403.78
ORD000123,2024-03-27,CUST6352,Camera,Electronics,3,674.32,West,Mike Davis,2022.96
ORD000124,2023-07-25,CUST5465,Dress,Clothing,5,133.94,South,David Wilson,669.7
ORD000125,2024-05-08,CUST3306,Garden Tools,Home & Garden,1,247.14,South,Chris Anderson,247.14
ORD000126,2024-07-24,CUST3024,Coffee Maker,Home & Garden,5,243.48,West,Emily Taylor,1217.3999999999999
ORD000127,2024-11-19,CUST2775,Board Game,Toys,3,64.69,South,Jessica Miller,194.07
ORD000128,2023-01-26,CUST8606,Textbook,Books,1,23.12,East,Chris Anderson,23.12
ORD000129,2023-04-30,CUST2902,T-Shirt,Clothing,4,143.01,North,Lisa Brown,572.04
ORD000130,2024-07-04,CUST7866,Sneakers,Clothing,5,78.97,Central,Mike Davis,394.85
ORD000131,2024-02-29,CUST1536,LEGO Set,Toys,3,85.86,East,Lisa Brown,257.58
ORD000132,2024-03-30,CUST9920,Tennis Racket,Sports,3,345.79,East,John Smith,1037.3700000000001
ORD000133,2024-02-12,CUST2501,Vacuum Cleaner,Home & Garden,4,291.42,South,Amanda White,1165.68
ORD000134,2023-01-22,CUST4362,Tablet,Electronics,5,516.64,North,Ryan Thompson,2583.2
ORD000135,2023-08-01,CUST1046,Cookbook,Books,2,42.52,East,,85.04
ORD000136,2023-05-14,CUST3159,Biography,Books,1,41.94,North,Emily Taylor,41.94
ORD000137,2023-09-01,CUST7897,Biography,Books,2,10.63,Central,Sarah Johnson,21.26
ORD000138,2023-03-07,CUST8405,Yoga Mat,Sports,1,316.76,Central,Lisa Brown,316.76
ORD000139,2024-09-21,CUST5941,Smart Watch,Electronics,5,1218.2,West,John Smith,6091.0
ORD000140,2023-03-04,CUST2204,Yoga Mat,Sports,4,184.85,North,Emily Taylor,739.4
ORD000141,2024-09-14,CUST9984,T-Shirt,Clothing,5,36.4,East,Chris Anderson,182.0
ORD000142,2024-09-03,CUST2874,Biography,Books,1,28.15,Central,Lisa Brown,28.15
ORD000143,2024-03-16,CUST7815,Tennis Racket,Sports,4,180.18,North,Emily Taylor,720.72
ORD000144,2024-03-13,CUST2099,Garden Tools,Home & Garden,4,131.06,North,Sarah Johnson,524.24
ORD000145,2023-04-06,CUST1982,Basketball,Sports,2,304.22,Central,Ryan Thompson,608.44
ORD000146,2024-07-29,CUST1842,Coffee Maker,Home & Garden,4,140.92,East,Amanda White,563.68
ORD000147,2023-11-16,CUST4674,Coffee Maker,Home & Garden,4,186.04,North,Emily Taylor,744.16
ORD000148,2024-07-23,CUST1430,Coffee Maker,Home & Garden,4,235.9,Central,David Wilson,943.6
ORD000149,2023-01-30,CUST6751,Jacket,Clothing,3,111.35,North,Mike Davis,334.04999999999995
ORD000150,2023-05-27,CUST2503,Self-Help,Books,1,12.78,Central,Lisa Brown,12.78
ORD000151,2024-01-21,CUST2391,Yoga Mat,Sports,3,152.84,North,Mike Davis,458.52
ORD000152,2023-06-11,CUST8957,Fiction Novel,Books,4,36.96,Central,Jessica Miller,147.84
ORD000153,2024-02-29,CUST2816,Vacuum Cleaner,home & garden,4,233.83,East,Amanda White,935.32
ORD000154,2024-05-13,CUST1897,Biography,Books,5,11.82,North,Lisa Brown,59.1
ORD000155,2023-11-05,CUST1126,Jeans,Clothing,1,119.34,West,Chris Anderson,119.34
ORD000156,2023-06-29,CUST6802,Sneakers,Clothing,5,89.24,North,Chris Anderson,446.2
ORD000157,2023-02-13,CUST8033,Basketball,Sports,3,197.41,Central,Chris Anderson,592.23
ORD000158,2024-12-27,CUST3815,Puzzle,Toys,3,39.61,Central,Jessica Miller,118.83
ORD000159,2024-12-07,CUST7560,Coffee Maker,Home & Garden,4,147.91,Central,Sarah Johnson,591.64
ORD000160,2024-02-10,CUST9363,Garden Tools,Home & Garden,1,89.82,North,Ryan Thompson,89.82
ORD000161,2024-06-06,CUST3419,Jacket,Clothing,91,65.64,South,Sarah Johnson,5973.24
ORD000162,2023-05-30,CUST3902,Vacuum Cleaner,Home & Garden,1,76.84,West,Jessica Miller,76.84
ORD000163,2024-07-31,CUST6295,Self-Help,Books,5,37.25,East,Mike Davis,186.25
ORD000164,2024-03-26,CUST1920,Headphones,Electronics,3,774.87,East,Ryan Thompson,2324.61
ORD000165,2023-03-17,CUST2257,Bedding,Home & Garden,3,152.02,North,Amanda White,456.06000000000006
ORD000166,2024-08-31,CUST8368,Self-Help,Books,1,28.51,Central,Lisa Brown,28.51
ORD000167,2023-11-26,CUST2695,Self-Help,Books,78,30.05,East,Sarah Johnson,2343.9
ORD000168,2024-05-31,CUST9586,Action Figure,Toys,4,18.33,Central,Amanda White,73.32
ORD000169,2023-06-12,CUST1857,Garden Tools,Home & Garden,3,277.84,East,Sarah Johnson,833.52
ORD000170,2023-12-04,CUST3463,Camera,ELECTRONICS,5,1081.89,East,Sarah Johnson,5409.450000000001
ORD000171,2024-08-19,CUST3112,Action Figure,Toys,4,92.92,Central,Sarah Johnson,371.68
ORD000172,2023-11-14,CUST9624,Self-Help,Books,2,35.74,North,Chris Anderson,71.48
ORD000173,2024-06-04,CUST6598,Coffee Maker,Home & Garden,2,127.9,West,Lisa Brown,255.8
ORD000174,2023-08-20,CUST9317,Jeans,Clothing,1,30.03,Central,Ryan Thompson,30.03
ORD000175,2023-02-08,CUST7172,Board Game,Toys,5,89.49,South,Mike Davis,447.45
ORD000176,2023-07-05,CUST1715,Remote Car,Toys,4,83.77,West,Emily Taylor,335.08
ORD000177,2024-11-23,CUST4833,Action Figure,Toys,4,97.42,Central,Lisa Brown,389.68
ORD000178,2023-11-13,CUST8564,Tennis Racket,Sports,4,162.94,East,Chris Anderson,651.76
ORD000179,2024-05-29,CUST3267,Self-Help,Books,5,48.65,,John Smith,243.25
ORD000180,2024-10-18,CUST3042,Running Shoes,Sports,5,232.95,East,Sarah Johnson,1164.75
ORD000181,2023-06-14,CUST2502,Bedding,Home & Garden,4,274.43,South,Jessica Miller,1097.72
ORD000182,2023-12-24,CUST7326,Headphones,Electronics,2,269.23,North,Emily Taylor,538.46
ORD000183,2023-08-18,CUST3392,Tablet,Electronics,3,1410.07,South,John Smith,4230.21
ORD000184,2023-10-21,CUST1086,Tennis Racket,Sports,5,309.57,North,John Smith,1547.85
ORD000185,2023-09-20,CUST7934,Jeans,Clothing,5,91.34,North,David Wilson,456.70000000000005
ORD000186,2023-09-01,CUST8489,Coffee Maker,Home & Garden,5,42.89,North,Sarah Johnson,214.45
ORD000187,2024-05-26,3352,Textbook,Books,2,10.66,East,Chris Anderson,21.32
ORD000188,2023-01-02,CUST9576,Biography,Books,1,19.62,East,Sarah Johnson,19.62
ORD000189,2024-06-22,CUST7397,Textbook,Books,1,41.46,,John Smith,41.46
ORD000190,2024-10-12,CUST6649,Running Shoes,Sports,1,120.12,South,Sarah Johnson,120.12
ORD000191,2024-08-18,CUST3868,Board Game,Toys,3,26.34,West,Jessica Miller,79.02
ORD000192,2024-10-08,CUST1605,Jeans,Clothing,4,28.2,East,Lisa Brown,112.8
ORD000193,2023-02-14,CUST9897,T-Shirt,Clothing,4,61.03,West,David Wilson,244.12
ORD000194,2023-02-07,CUST6438,Action Figure,Toys,1,39.32,East,Sarah Johnson,39.32
ORD000195,2024-01-12,CUST6554,Yoga Mat,Sports,4,303.74,South,,1214.96
ORD000196,2024-12-09,CUST7955,Running Shoes,Sports,1,371.62,North,Chris Anderson,371.62
ORD000197,2024-09-08,,Dress,Clothing,3,58.19,East,Jessica Miller,174.57
ORD000198,2024-09-09,CUST1693,Puzzle,Toys,4,29.16,East,Amanda White,116.64
ORD000199,2024-03-21,CUST9406,Coffee Maker,Home & Garden,3,50.26,South,John Smith,150.78
ORD000200,2025-15-32,CUST6933,Self-Help,Books,3,11.39,West,Amanda White,34.17
ORD000201,2023-02-03,CUST8273,Cookbook,Books,3,37.16,North,Amanda White,111.47999999999999
ORD000202,2023-05-21,CUST2858,Biography,Books,2,25.92,North,Mike Davis,51.84
ORD000203,2024-05-26,CUST8311,Self-Help,Books,3,46.54,South,Amanda White,139.62
ORD000204,2023-10-20,CUST8406,Puzzle,Toys,1,32.02,South,Jessica Miller,32.02
ORD000205,2023-03-31,CUST9882,Board Game,Toys,5,71.77,East,David Wilson,358.84999999999997
ORD000206,2023-06-11,CUST4292,Action Figure,Toys,1,82.46,South,Lisa Brown,82.46
ORD000207,2024-05-20,CUST3126,Tablet,Electronics,5,920.23,Central,Sarah Johnson,4601.15
ORD000208,2023-03-09,CUST7730,Bedding,Home & Garden,5,299.89,West,Amanda White,1499.4499999999998
ORD000209,2023-03-17,CUST6644,Jacket,Clothing,5,103.5,South,Ryan Thompson,517.5
ORD000210,2024-10-17,CUST1907,Cookbook,Books,5,40.71,North,Ryan Thompson,203.55
ORD000211,2023-06-06,CUST6669,Vacuum Cleaner,Home & Garden,2,73.73,Central,David Wilson,147.46
ORD000212,2023-03-22,CUST5961,Vacuum Cleaner,Home & Garden,2,201.47,Central,Ryan Thompson,402.94
ORD000213,2023-04-06,CUST6531,Cookbook,Books,2,33.67,Central,John Smith,67.34
ORD000214,2023-01-30,CUST4453,Laptop,Electronics,3,1433.11,Central,Chris Anderson,4299.33
ORD000215,2024-09-24,CUST5949,LEGO Set,Toys,3,57.33,West,Lisa Brown,171.99
ORD000216,2024-12-02,CUST8202,Running Shoes,Sports,2,195.08,West,Jessica Miller,390.16
ORD000217,2024-04-20,CUST6658,Jacket,Clothing,3,98.87,West,Mike Davis,296.61
ORD000218,2024-01-15,CUST5382,Textbook,Books,1,14.25,West,Lisa Brown,14.25
ORD000219,2023-05-25,CUST7850,Laptop,Electronics,5,577.28,,Mike Davis,2886.3999999999996
ORD000220,2023-12-02,CUST8648,Biography,Books,5,17.59,West,David Wilson,87.95
ORD000221,2024-05-24,CUST4524,Laptop,Electronics,2,1428.8,Central,Emily Taylor,2857.6
ORD000222,2023-02-19,CUST5681,Tablet,Electronics,4,843.36,Central,John Smith,3373.44
ORD000223,2023-04-21,CUST6995,Tennis Racket,Sports,4,355.92,North,Chris Anderson,1423.68
ORD000224,2023-02-22,CUST7329,Textbook,Books,1,17.79,Central,Jessica Miller,17.79
ORD000225,2024-07-17,CUST7453,Kitchen Set,Home & Garden,1,213.71,East,Emily Taylor,213.71
ORD000226,2024-07-25,1659,Vacuum Cleaner,home & garden,5,83.75,North,  John Smith ,418.75
ORD000227,2023-05-21,CUST9446,Board Game,Toys,2,83.34,South,Emily Taylor,166.68
ORD000228,2024-09-19,CUST6511,Vacuum Cleaner,Home & Garden,3,136.1,Central,Ryan Thompson,408.29999999999995
ORD000229,2024-06-29,CUST6427,Bicycle,Sports,3,137.42,North,Chris Anderson,412.26
ORD000230,2024-08-20,CUST4728,Coffee Maker,Home & Garden,5,191.17,North,Amanda White,955.8499999999999
ORD000231,2024-05-06,CUST3421,Dress,Clothing,4,101.77,South,John Smith,407.08
ORD000232,2024-08-09,CUST3481,LEGO Set,Toys,4,31.22,West,Lisa Brown,124.88
ORD000233,2024-02-25,CUST3262,Textbook,Books,1,46.82,Central,Lisa Brown,46.82
ORD000234,2024-07-28,CUST8531,Bedding,Home & Garden,2,171.88,Central,Emily Taylor,343.76
ORD000235,2024-07-13,CUST5571,Garden Tools,Home & Garden,2,194.72,Central,David Wilson,389.44
ORD000236,2023-08-19,CUST6194,Garden Tools,Home & Garden,4,220.32,West,Emily Taylor,881.28
ORD000237,2024-07-27,CUST7220,Board Game,Toys,5,39.46,West,Emily Taylor,197.3
ORD000238,2023-05-30,CUST8247,Coffee Maker,Home & Garden,3,107.66,East,Jessica Miller,322.98
ORD000239,2023-08-08,3249,Dress,Clothing,3,55.25,North,Amanda White,165.75
ORD000240,2024-08-23,CUST4814,Jeans,Clothing,2,26.6,North,Sarah Johnson,53.2
ORD000241,2024-02-28,CUST3587,Bedding,Home & Garden,1,57.15,West,  Jessica Miller ,57.15
ORD000242,2024-05-03,CUST1969,Action Figure,Toys,3,79.25,North,Amanda White,237.75
ORD000243,2023-08-26,CUST1595,Fiction Novel,Books,2,46.53,West,Jessica Miller,93.06
ORD000244,2023-07-10,CUST2758,Board Game,Toys,5,89.52,East,David Wilson,447.59999999999997
ORD000245,2024-04-10,CUST9261,Remote Car,Toys,2,59.57,West,David Wilson,119.14
ORD000246,2023-07-17,CUST4050,Tablet,Electronics,3,411.24,North,Emily Taylor,1233.72
ORD000247,2023-10-30,,Cookbook,Books,4,17.02,Central,Emily Taylor,68.08
ORD000248,2023-03-30,CUST5064,Basketball,Sports,3,94.29,North,David Wilson,282.87
ORD000249,2024-01-28,CUST1187,Sneakers,Clothing,69,117.99,East,Emily Taylor,8141.3099999999995
ORD000250,2024-12-10,CUST7642,T-Shirt,Clothing,2,106.81,Central,David Wilson,213.62
ORD000251,2024-12-07,CUST4618,Smart Watch,Electronics,5,1390.97,South,Mike Davis,6954.85
ORD000252,2024-05-04,CUST9998,Sneakers,Clothing,4,117.21,West,Ryan Thompson,468.84
ORD000253,2024-11-11,CUST9609,Jeans,Clothing,1,108.44,West,Ryan Thompson,108.44
ORD000254,2024-12-21,CUST9281,Coffee Maker,Home & Garden,5,277.66,South,Amanda White,1388.3000000000002
ORD000255,2024-07-03,CUST4365,Jeans,Clothing,1,62.66,Central,Jessica Miller,62.66
ORD000256,2023-04-04,CUST7806,Self-Help,Books,5,42.35,West,Amanda White,211.75
ORD000257,2023-03-01,CUST7487,Self-Help,Books,1,36.91,East,John Smith,36.91
ORD000258,2023-08-12,CUST9866,Fiction Novel,Books,1,11.81,North,Sarah Johnson,11.81
ORD000259,2024-04-28,CUST7135,Tablet,Electronics,4,731.53,West,Jessica Miller,2926.12
ORD000260,2024-01-22,CUST3178,Basketball,Sports,5,281.02,East,Sarah Johnson,1405.1
ORD000261,2023-07-02,CUST1056,Self-Help,Books,2,31.15,North,David Wilson,62.3
ORD000262,2024-04-19,CUST5055,Remote Car,Toys,2,51.05,West,Emily Taylor,102.1
ORD000263,2023-06-08,CUST1527,Vacuum Cleaner,Home & Garden,1,283.1,West,Amanda White,283.1
ORD000264,2023-01-17,CUST1797,Jeans,Clothing,4,28.75,South,John Smith,115.0
ORD000265,2024-02-16,CUST3295,Tennis Racket,Sports,1,227.41,Central,David Wilson,227.41
ORD000266,2023-08-28,CUST4881,Remote Car,Toys,3,42.11,East,Mike Davis,126.33
ORD000267,2024-11-07,CUST3869,Cookbook,Books,5,26.54,West,Ryan Thompson,132.7
ORD000268,2024-05-22,CUST6222,Tablet,Electronics,5,1424.06,West,Chris Anderson,7120.299999999999
ORD000269,2023-06-02,CUST4692,Bedding,Home & Garden,2,79.65,East,Mike Davis,159.3
ORD000270,2024-04-19,CUST3196,Camera,Electronics,5,736.48,West,Lisa Brown,3682.4
ORD000271,2023-09-19,CUST2514,Jacket,Clothing,3,104.07,Central,Lisa Brown,312.21
ORD000272,2023-02-22,CUST4082,Bedding,Home & Garden,1,211.89,Central,Ryan Thompson,211.89
ORD000273,2023-08-11,CUST4470,Tennis Racket,Sports,1,351.05,South,Sarah Johnson,351.05
ORD000274,2024-05-05,CUST6269,Sweater,Clothing,2,98.57,East,Chris Anderson,197.14
ORD000275,2024-04-22,CUST8635,Biography,Books,4,22.34,North,Jessica Miller,89.36
ORD000276,2023-11-24,CUST3390,Jacket,Clothing,2,60.68,North,David Wilson,121.36
ORD000277,2024-07-20,CUST6404,Textbook,Books,2,38.8,South,Chris Anderson,77.6
